,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Value (in EUR),,,Value (in GBP),,,Volume (in kg/l),,,Units,,,,,,,,,,,,
MARKET,CATEGORY,TYPE OF REFORMED MEAT,TYPE OF SAVOURY INGREDIENTS,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,QUORN,"2,978,657","2,498,504","2,707,662","2,710,877","2,273,889","2,464,244","373,353","291,711","312,412","1,065,530","832,835","892,379",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,TEMPEH,0,"254,006","374,616",0,"231,171","340,938",0,"15,115","23,844",0,"83,970","132,465",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,SEITAN,0,"139,183","76,473",0,"126,671","69,598",0,"10,159","5,143",0,"46,664","39,696",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,OTHER,0,"25,332","10,367",0,"23,054","9,435",0,"5,173","2,456",0,"17,243","8,186",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,VEGETABLE,8,5,"2,211,558",7,5,"2,012,740",1,1,"133,256",3,2,"826,683",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,NOT DETERMINED,0,0,"1,520,191",0,0,"1,383,526",0,0,"116,614",0,0,"299,011",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,EGGS,,"7,768,611","8,496,031","8,363,246","7,070,215","7,732,241","7,611,393","943,450","963,961","919,896","4,721,939","4,911,448","4,933,569",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,EGGS,QUORN,"7,768,611","8,496,031","8,363,246","7,070,215","7,732,241","7,611,393","943,450","963,961","919,896","4,721,939","4,911,448","4,933,569",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,,"5,948,406","8,490,527","10,858,530","5,413,646","7,727,232","9,882,352","585,055","738,864","947,212","3,132,970","4,475,436","6,077,474",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,QUORN,"5,912,741","6,373,006","5,843,391","5,381,187","5,800,075","5,318,072","581,464","584,380","548,418","3,106,549","3,075,588","2,826,300",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,SOYA,"24,766","1,789,634","2,452,838","22,540","1,628,746","2,232,328","1,748","127,371","165,162","21,740","1,233,842","1,424,717",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,VEGETABLE,"4,295","300,023","1,236,295","3,909","273,051","1,125,152","1,512","24,220","105,318","3,023","141,895","736,471",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,OTHER,0,"26,016","1,144,235",0,"23,677","1,041,369",0,"2,688","113,277",0,"22,403","943,971",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,NOT DETERMINED,0,"1,825","181,772",0,"1,661","165,431",0,204,"15,037",0,"1,703","146,016",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ROLL,SEITAN,"6,603",24,0,"6,010",22,0,332,1,0,"1,658",5,0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,,"5,438,490","7,163,230","13,920,836","4,949,571","6,519,258","12,669,357","668,859","830,479","1,567,208","1,945,877","2,444,442","4,836,894",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,QUORN,"4,887,896","4,332,909","6,391,844","4,448,475","3,943,381","5,817,219","612,481","492,174","708,611","1,743,991","1,403,797","2,024,421",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,SOYA,"538,243","2,449,584","6,588,082","489,855","2,229,367","5,995,815","54,878","291,749","745,467","195,527","875,538","2,430,247",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,VEGETABLE,"12,351","257,095","543,466","11,240","233,982","494,609","1,500","28,535","62,980","6,359","119,231","221,928",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,CHICKPEAS,0,"118,361","78,804",0,"107,721","71,720",0,"17,777","11,205",0,"44,443","28,012",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,TEMPEH,0,"5,281",0,0,"4,806",0,0,244,0,0,"1,433",0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,NOT DETERMINED,0,0,"145,595",0,0,"132,506",0,0,"20,357",0,0,"54,834",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MINCE,SEITAN,0,0,"173,045",0,0,"157,489",0,0,"18,588",0,0,"77,451",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,,"3,560,559","6,676,212","14,033,245","3,240,466","6,076,023","12,771,660","271,577","504,338","1,099,679","1,455,615","2,469,623","4,962,480",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,VEGETABLE,"826,893","2,521,913","7,987,941","752,556","2,295,194","7,269,827","59,772","188,744","639,103","298,429","932,984","2,869,944",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,QUORN,"2,345,189","1,899,346","997,235","2,134,357","1,728,596","907,584","182,672","139,259","69,474","1,013,023","745,955","385,895",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,SOYA,"366,721","1,221,102","3,890,426","333,753","1,111,325","3,540,678","27,623","112,590","321,962","136,615","516,578","1,402,981",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,OTHER,612,"902,646","818,648",557,"821,499","745,052",32,"51,771","39,321",203,"221,313","173,823",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,CHICKPEAS,0,"64,013",0,0,"58,258",0,0,"6,563",0,0,"28,911",0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,SEITAN,0,"52,418","170,744",0,"47,706","155,394",0,"4,366","16,045",0,"19,230","69,319",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,TOFU,"21,143","14,773","25,177","19,243","13,445","22,914","1,477","1,046","1,439","7,346","4,652","5,934",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BURGER,NOT DETERMINED,0,0,"143,074",0,0,"130,212",0,0,"12,336",0,0,"54,583",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,,"4,235,372","5,449,317","6,804,798","3,854,614","4,959,425","6,193,049","299,820","362,374","450,867","1,525,017","1,831,530","2,213,398",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,QUORN,"3,336,630","2,937,501","2,744,201","3,036,668","2,673,420","2,497,498","245,597","203,070","181,142","1,253,044","1,036,071","924,188",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,SOYA,"843,232","2,420,667","2,619,925","767,425","2,203,050","2,384,395","51,417","153,540","161,033","257,087","767,698","805,166",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,OTHER,"18,060","72,208","1,292,473","16,437","65,716","1,176,280","1,085","5,017","96,140","5,423","23,237","424,444",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,SEITAN,"37,266","16,252","20,478","33,916","14,791","18,637","1,714",649,"2,080","9,404","3,703","9,316",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,TOFU,185,"2,690","3,166",168,"2,448","2,882",7,98,116,59,821,968,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STEAK,VEGETABLE,0,0,"124,556",0,0,"113,358",0,0,"10,356",0,0,"49,316",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FILLET,,"4,679,825","3,740,039","4,224,179","4,259,110","3,403,811","3,844,427","292,974","231,627","301,090","1,939,658","1,506,402","1,629,240",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FILLET,QUORN,"4,653,932","3,576,156","2,430,520","4,235,545","3,254,660","2,212,017","291,297","220,380","133,325","1,932,696","1,451,974","948,576",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FILLET,OTHER,0,"78,359","63,788",0,"71,314","58,054",0,"4,406","3,651",0,"25,919","21,476",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FILLET,SOYA,"2,316","57,340","1,675,403","2,108","52,186","1,524,785",273,"5,318","159,953",910,"21,271","639,806",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FILLET,TOFU,"23,577","28,184","41,595","21,457","25,651","37,855","1,404","1,523","2,419","6,052","7,238","10,672",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FILLET,VEGETABLE,0,0,"12,874",0,0,"11,717",0,0,"1,742",0,0,"8,711",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,,"1,180,088","3,652,016","6,850,645","1,073,998","3,323,701","6,234,774","105,435","342,626","694,572","440,954","1,434,008","2,683,566",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,SOYA,"1,174,238","3,462,585","4,479,856","1,068,675","3,151,299","4,077,118","104,910","323,887","393,552","438,333","1,369,271","1,677,989",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,OTHER,0,"127,313",0,0,"115,868",0,0,"10,582",0,0,"39,194",0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,VEGETABLE,0,"59,346","1,758,367",0,"54,011","1,600,291",0,"7,853","233,839",0,"24,491","770,913",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,NOT DETERMINED,0,"2,772","108,593",0,"2,523","98,831",0,303,"11,091",0,"1,052","25,528",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,SEITAN,0,0,"503,829",0,0,"458,535",0,0,"56,090",0,0,"209,136",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEATBALLS,QUORN,"5,849",0,0,"5,324",0,0,524,0,0,"2,621",0,0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ESCALOPES,,"3,442,172","3,593,254","6,381,129","3,132,722","3,270,221","5,807,468","298,351","284,290","482,884","1,290,853","1,242,564","2,126,302",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ESCALOPES,QUORN,"3,442,172","3,339,627","5,463,389","3,132,722","3,039,396","4,972,232","298,351","267,583","424,457","1,290,853","1,158,019","1,812,727",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,ESCALOPES,SOYA,0,"253,626","917,740",0,"230,826","835,236",0,"16,707","58,427",0,"84,545","313,575",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,,"354,818","2,527,135","3,663,607","322,920","2,299,946","3,334,250","25,648","199,432","284,364","154,820","1,104,358","1,815,300",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,QUORN,"108,685","1,589,764","1,876,530","98,914","1,446,845","1,707,830","8,066","127,652","128,911","44,811","709,178","1,050,794",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,SOYA,"233,184","740,716","664,879","212,221","674,126","605,107","17,050","54,648","46,450","94,797","303,601","259,199",,,,,,,,,,
